c;c;o;c;s;f;s;g;n;o;u;o;u;c;o;
Serie A;Milan;Bologna;1,1;G;7;S;2,05;1,7;1,22;4,33;1,66;2,2;0;0;
Ligue 2;Tolosa;Niort;1,1;G;7;S;2,1;1,66;1,25;3,75;1,8;2;2;0;
Super Lig;Basaksehir;Yeni Malatyaspor;1,1;G;7;S;2,2;1,61;1,22;4;1,7;2,1;1;0;
Laliga;Atl Madrid;Espanyol;1,1;G;7;S;2,2;1,61;1,25;4;1,84;2,06;2;1;
Eerste Divisie;Roda;Jong Utrecht;1,1;ND;7;ND;1,8;1,9;1,12;6;1,44;2,7;2;1;
Copa Libertdores;Fortaleza;A Lima;1,1;ND;7;ND;2,1;1,66;1,22;4;1,72;2,07;2;1;
Laliga;Atl Madrid;Cadice;1,1;S;7;G;2,25;1,57;1,3;3,5;1,97;1,93;2;1;
Champions League;Ajax;Benfica;1,11;G;6,5;S;1,7;2,05;1,12;6;1,4;3;0;1;
2 Bundesliga;Amburgo;Aue;1,11;G;6,5;S;1,8;1,9;1,14;5,5;1,47;2,6;4;0;
Laliga;Atl Madrid;Granada;1,11;G;6,5;S;2;1,75;1,22;4,33;1,72;2,1;0;0;
Laliga;Real Sociedad;Granada;1,11;G;6,5;S;2,1;1,66;1,25;4;1,8;2;2;0;
Primera A Col;Junior ;Aguilas;1,11;G;6,5;S;2,5;1,5;1,36;3;2,15;1,66;2;1;
2 Bundesliga;Leverkusen;Bielefeld;1,11;ND;6,5;ND;1,8;1,95;1,14;5,5;1,44;2,75;3;0;
Liga Portugal;Benfica;Santa Clara;1,11;S;6;G;1,95;1,8;1,16;5;1,57;2,35;2;1;
Premier League;Chelsea;Brentford;1,11;S;6,5;G;2,2;1,61;1,3;3,5;2;1,9;1;4;
Laliga;Siviglia;Elche;1,11;S;6,5;G;2,37;1,53;1,36;3,2;2,1;1,72;2;0;
Laliga;Atl Madrid;Alaves;1,11;ND;6,5;ND;2,5;1,5;1,33;3,4;2;1,8;4;1;
Bundesliga;RB Lipsia;Francoforte;1,12;G;6;S;1,66;2,1;1,14;5,5;1,5;2,62;0;0;
Allsvenskan;Hammarby;Helsingborg;1,12;G;6;S;1,8;1,95;1,16;5;1,57;2,35;2;1;
Europa League;Barcellona;Francoforte;1,12;G;6;S;1,8;1,95;1,16;5;1,53;2,5;2;3;
Allsvenskan;Elfsborg;Sundsvall;1,12;G;6;S;1,8;1,95;1,14;5,5;1,53;2,4;3;1;
Serie B;Lecce;Spal;1,12;G;6;S;1,95;1,8;1,22;4;1,7;2,1;1;0;
Europa League;RB Lipsia;Rangers;1,12;G;6;S;1,95;1,8;1,22;4,33;1,72;2,1;1;0;
Ligue 1;Monaco;Reims;1,12;G;6;S;2;1,75;1,25;4;1,86;2,04;1;2;
League One;Sheffield Wed;Cheltenham;1,12;G;6;S;2,1;1,66;1,28;3,5;1,9;1,95;4;1;
Laliga;Barcellona;Siviglia;1,12;G;6;S;2,1;1,66;1,28;3,75;1,83;2,07;1;0;
Serie B;Parma;Pordenone;1,12;G;6;S;2,25;1,57;1,33;3,25;2,1;1,7;4;1;
Primera Nacional;Belgrano;San Telmo;1,12;G;6;S;2,62;1,44;1,4;2,75;2,2;1,65;3;1;
Ligue 1;Lione;Montpellier;1,12;ND;6;ND;1,61;2,2;1,11;6,5;1,36;3,2;5;2;
Liga Portugal;Benfica;Vizela;1,12;S;6;G;1,66;2,1;1,11;6,5;1,4;2,87;1;1;
Ligue 1;Lione;Bordeaux;1,12;S;6;G;1,7;2,05;1,16;5;1,5;2,62;6;1;
Conference League;Roma;Bodo Glimt;1,12;S;6;G;1,72;2;1,16;5;1,5;2,5;4;0;
Premier League;Manchester Utd;Watford;1,12;S;6;G;2;1,75;1,22;4,33;1,72;2,1;0;0;
Liga Portugal;Braga;Ferreira;1,12;S;6;G;2,1;1,66;1,25;3,75;1,9;1,95;2;1;
Laliga;Siviglia;Granada;1,12;ND;6;ND;2,1;1,66;1,28;3,75;1,92;1,98;4;2;
Bundesliga Aus;Rapid Vienna;A Klagenfurt;1,14;G;5,5;S;1,61;2,2;1,12;6;1,44;2,7;2;2;
Bundesliga;RB Lipsia;Colonia;1,14;G;5,5;S;1,66;2,1;1,14;5,5;1,5;2,62;3;1;
Eredivisie;Vitesse;Cambuur;1,14;G;5,5;S;1,75;2;1,14;5,5;1,53;2,4;1;0;
Bundesliga;Friburgo;Hertha;1,14;G;5,5;S;1,8;1,95;1,16;5;1,57;2,37;3;0;
Europa League;Monaco;Braga;1,14;G;5,5;S;1,8;1,95;1,2;4,5;1,66;2,2;1;1;
League One;Bournemouth;Birmingham;1,14;G;5,5;S;1,83;1,83;1,22;4,33;1,66;2,2;3;1;
Bundesliga;Colonia;Bielefeld;1,14;G;5,5;S;1,9;1,9;1,2;4,5;1,66;2,2;3;1;
Ligue 1;Lens;Montpellier;1,14;G;5,5;S;1,95;1,8;1,22;4,33;1,72;2,1;2;0;
Premier League;Chelsea;West Ham;1,14;G;5,5;S;1,95;1,8;1,25;4;1,8;2;1;0;
Serie B;Frosinone;Reggina;1,14;G;5,5;S;2,05;1,7;1,25;3,75;1,88;1,98;3;0;
Conference League;Gent;Paok;1,14;G;5,5;S;2,25;1,57;1,4;2,75;2,2;1,65;1;2;
Liga Portugal 2;Casa Pia;Trofense;1,14;G;5,5;S;2,5;1,5;1,4;2,75;2,2;1,65;1;0;
Primera A Col;Junior;Pasto;1,14;G;5,5;S;2,62;1,44;1,44;2,62;2,35;1,57;1;1;
Allsvenskan;Djurgarden;Degerfors;1,14;S;5,5;G;1,8;1,95;1,16;5;1,53;2,4;3;1;
Championship;Fulham;Millwall;1,14;S;5,5;G;1,9;1,8;1,25;4;1,88;1,98;3;0;
Serie A;Roma;Genoa;1,14;S;5,5;G;1,95;1,8;1,22;4,33;1,66;2,2;0;0;
Serie A;Milan;Sampdoria;1,14;ND;5,5;ND;1,95;1,8;1,22;4,33;1,72;2,1;1;0;
Serie B;Cremonese;Pordenone;1,14;S;5,5;G;2;1,75;1,25;3,75;1,88;1,98;2;1;
Europa League;Braga;S Tiraspol;1,14;ND;5,5;ND;2;1,75;1,25;4;1,94;1,96;3;0;
Laliga;Atl Madrid;Getafe;1,14;S;5,5;G;2,5;1,5;1,44;2,75;2,3;1,61;4;3;
Eredivisie;FC Volendam;Jong AZ;1,16;G;5;S;1,61;2,2;1,11;6,5;1,36;3,1;2;1;
Jupiler League;Club Brugge;Charleroi;1,16;G;5;S;1,66;2,1;1,14;5,5;1,47;2,6;2;0;
Primera Division Par;Olimpia Asuncion;Ameliano;1,16;G;5;S;1,83;1,83;1,18;4,5;1,57;2,35;0;2;
Premier League;Southampton;Norwich;1,16;G;5;S;1,9;1,9;1,22;4,33;1,72;2,1;2;0;
Championship;Coventry;Hull;1,16;G;5;S;1,9;1,8;1,28;3,75;1,95;1,9;0;2;
Ligue 1;Lilla;Bordeaux;1,16;G;5;S;1,95;1,8;1,25;4;1,8;2;0;0;
Serie A;Milan;Udinese;1,16;G;5;S;2;1,75;1,28;3,75;1,9;2;1;1;
Jupiler League;Royale Union SG;ST Truiden;1,16;G;5;S;2;1,75;1,28;3,5;1,9;1,95;0;1;
Bundesliga;Magonza;Bielefeld;1,16;G;5;S;2;1,75;1,28;3,75;1,86;2,04;4;0;
Ligue 1;Lorient;Metz;1,16;G;5;S;2;1,75;1,28;3,75;1,97;1,93;1;0;
Premier League;Brighton;Norwich;1,16;G;5;S;2,1;1,66;1,33;3,4;2,06;1,84;0;0;
Premier League;Chelsea;Crystal Palace;1,16;G;5;S;2,1;1,66;1,33;3,25;2;1,8;2;0;
Nazionali;Uruguay;Peru;1,16;G;5;S;2,5;1,5;1,44;2,62;2,35;1,57;1;0;
Eredivisie;Ajax;Feyenoord;1,16;S;5;G;1,57;2,25;1,12;6;1,44;2,7;3;2;
Champions League;Liverpool;Benfica;1,16;S;5;G;1,7;2,05;1,14;5,5;1,5;2,62;3;3;
Serie A;Inter;Fiorentina;1,16;ND;5;ND;1,75;2;1,2;4,5;1,61;2,3;1;1;
Bundesliga;Leverkusen;Hertha;1,16;S;5;G;1,8;1,95;1,2;4,5;1,61;2,3;2;1;
Championship;Bournemouth;Reading;1,16;S;5;G;1,9;1,8;1,22;4,33;1,66;2,2;1;1;
Bundesliga;Hoffenheim;Bielefeld;1,18;G;4,5;S;1,7;2,05;1,16;5;1,53;2,5;2;0;
Laliga;Villarreal;Espanyol;1,18;G;4,5;S;1,75;2;1,2;4,5;1,72;2,1;5;1;
Serie B;Benevento;LR Vicenza;1,18;G;4,5;S;1,75;2;1,18;4,5;1,61;2,25;1;0;
A League;Sydney FC;Macarthur FC;1,18;G;4,5;S;1,8;1,95;1,22;4,33;1,66;2,2;2;2;
Serie B;Perugia;Como;1,18;G;4,5;S;1,9;1,9;1,25;3,75;1,77;2,1;0;1;
Laliga;Real Sociedad;Espanyol;1,18;G;4,5;S;2;1,75;1,3;3,5;1,99;1,91;1;0;
Nazionali;Peru;Paraguay;1,18;G;4,5;S;2,2;1,61;1,36;3;2,15;1,66;2;0;
Bundesliga;Hoffenheim;Bochum;1,18;ND;4,5;ND;1,66;2,1;1,16;5;1,5;2,62;1;2;
Champions League;Manchester City;Real Madrid;1,18;S;4,5;G;1,75;2;1,2;4,5;1,61;2,3;4;3;
Serie A;Atalanta;Torino;1,18;ND;4,5;ND;1,8;1,95;1,22;4,33;1,72;2,1;4;4;
Conference League;Roma;Vitesse;1,18;S;4,5;G;1,83;1,83;1,22;4;1,72;2,07;1;1;
Premier League;West Ham;Watford;1,18;S;4,5;G;1,95;1,8;1,28;3,75;1,87;2,03;1;0;
Serie A;Napoli;Udinese;1,18;S;4,5;G;1,95;1,8;1,25;4;1,84;2,06;2;1;
Championship;Middlesbrough;Cardiff;1,18;S;4,5;G;2;1,72;1,3;3,5;2;1,85;2;0;
Copa Sudamerica;Cuiaba;River Plate;1,18;ND;4,5;ND;2,2;1,61;1,36;3;2,1;1,7;1;2;
Liga Portugal;Rio Ave;Trofense;1,18;S;4,5;G;2,25;1,57;1,36;3;2,15;1,66;1;0;
Serie A;Lazio;Sassuolo;1,2;G;4,33;S;1,5;2,5;1,11;6,5;1,4;3;2;1;
2 Bundesliga;Amburgo;Paderborn;1,2;G;4,33;S;1,61;2,2;1,14;5,5;1,5;2,5;1;2;
Jupiler League;Anderlecht;Antwerp;1,2;G;4,33;S;1,66;2,1;1,16;5;1,57;2,35;2;1;
Serie B;Benevento;Ternana;1,2;G;4,33;S;1,66;2,1;1,16;5;1,57;2,35;1;2;
Premier League;Manchester Utd;Leicester;1,2;G;4,33;S;1,7;2,05;1,2;4,5;1,61;2,3;1;1;
National League Eng;Woking;Weymouth;1,2;G;4,33;S;1,8;1,95;1,22;4;1,75;2,05;2;0;
Super Lig;Galatasaray;Kayserispor;1,2;G;4,33;S;1,83;1,83;1,22;4;1,75;2,05;1;1;
Ligue 1;Marsiglia;Nantes;1,2;G;4,33;S;1,9;1,9;1,25;4;1,72;2,1;3;2;
Liga MX ;Club America;Toluca;1,2;G;4,33;G;2;1,75;1,28;3,5;1,93;1,93;3;0;
Serie B;Cremonese;Reggina;1,2;G;4,33;S;2,1;1,66;1,33;3,25;2,07;1,72;1;1;
Laliga2;Eibar;Lugo;1,2;G;4,33;S;2,2;1,61;1,4;2,75;2,25;1,61;1;0;
Primera A Col;Medellin;Cortulua;1,2;G;4,33;S;2,37;1,53;1,44;2,62;2,4;1,53;3;1;
Laliga;Ath Bilbao;Getafe;1,2;G;4,33;S;2,37;1,53;1,5;2,62;2,5;1,53;1;1;
J2 League Giap;Tokushima;Blaublitz;1,2;G;4,33;S;2,62;1,44;1,57;2,25;2,87;1,4;0;0;
Eerste Divisie;FC Volendam;Oss;1,2;S;4,33;G;1,57;2,25;1,14;5,5;1,5;2,5;1;2;
Premier League;Manchester Utd;Southampton;1,2;S;4,33;G;1,66;2,1;1,16;5;1,57;2,37;1;1;
Eredivisie;Vitesse;Waalwijk;1,2;ND;4,33;ND;1,8;1,95;1,22;4;1,72;2,07;1;2;
Liga MX ;Tigres;Tijuana;1,2;ND;4,33;ND;1,8;1,95;1,2;4,33;1,7;2,1;2;0;
Super League Sviz;Young Boys;Basilea;1,22;G;4;S;1,5;2,5;1,11;6,5;1,36;3,1;3;1;
2 Bundesliga;Darmstadt;Kiel;1,22;G;4;S;1,57;2,25;1,14;5,5;1,47;2,6;3;1;
Bundesliga;Hoffenheim;Stoccarda;1,22;G;4;S;1,61;2,2;1,16;5;1,53;2,5;2;1;
Bundesliga;Monchengladbach;Augusta;1,22;G;4;S;1,7;2,05;1,2;4,5;1,57;2,37;3;2;
Conference League;Alkmaar;Bodo Glimt;1,22;G;4;S;1,72;2;1,22;4;1,7;2,1;2;1;
Serie A;Fiorentina;Bologna;1,22;G;4;S;1,75;2;1,22;4,33;1,66;2,2;1;0;
Serie B;Brescia;Spal;1,22;G;4;S;1,75;2;1,2;4,33;1,7;2,1;1;1;
Serie B;Benevento;Como;1,22;G;4;S;1,8;1,95;1,22;4;1,7;2,1;5;0;
Conference League;Feyenoord;Slavia Praga;1,22;G;4;S;1,8;1,9;1,2;4,33;1,7;2,1;3;3;
Serie A;Fiorentina;Udinese;1,22;G;4;S;1,8;1,95;1,25;4;1,8;2;0;4;
Liga 1 Peru;Binacional;U DE Deportes;1,22;G;4;S;1,83;1,83;1,28;3,5;1,95;1,9;1;0;
Serie B;Frosinone;LR Vicenza;1,22;G;4;S;1,9;1,9;1,28;3,5;1,88;1,98;2;0;
Superliga;Odense;Vejle;1,22;G;4;S;1,9;1,9;1,25;3,75;1,85;2;2;1;
Jupiler League;ST Truiden;Beerschot VA;1,22;G;4;S;1,95;1,8;1,25;3,75;1,93;1,93;3;2;
Liga Portugal 2;Chaves;Villafranquense;1,22;G;4;S;2;1,72;1,3;3,4;2;1,85;1;0;
Championship;Cardiff;Peterborough;1,22;G;4;S;2,1;1,66;1,36;3,2;2,05;1,8;4;0;
Serie B;Cittadella;Reggina;1,22;G;4;S;2,25;1,57;1,44;2,62;2,5;1,5;0;0;
Laliga2;Tenerife;Saragozza;1,22;G;4;S;2,37;1,53;1,5;2,5;2,5;1,5;1;1;
J2 League Giap;Albirex Niigata;Kusatsu;1,22;G;4;S;2,5;1,5;1,5;2,5;2,5;1,5;3;2;
Ligue 1;Paris SG;Rennes;1,22;S;4;G;1,66;2,1;1,16;5;1,57;2,37;1;0;
Ligue 1;Lens;Bordeaux;1,22;S;4;G;1,66;2,1;1,2;4,5;1,61;2,3;3;2;
Serie A;Fiorentina;Empoli;1,22;ND;4;ND;1,7;2,05;1,2;4,5;1,61;2,3;1;0;
Serie A;Torino;Spezia;1,22;ND;4;ND;1,9;1,9;1,3;3,5;2,01;1,89;2;1;
Conference League;Marsiglia;Paok;1,22;S;4;G;2;1,72;1,3;3,4;2,05;1,8;2;1;
Allsvenskan;Malmo FF;Goteborg;1,22;S;4;G;2,1;1,66;1,36;3;2,1;1,7;1;0;
Laliga;Atl Madrid;Celta Vigo;1,22;S;4;G;2,2;1,61;1,44;2,75;2,37;1,57;2;0;
Jupiler League;Club Brugge;Genk;1,25;G;3,75;S;1,61;2,2;1,16;5;1,57;2,35;3;1;
Super Lig;Fenerbahce;Konyaspor;1,25;G;3,75;S;1,66;2,1;1,2;4,33;1,65;2,2;2;1;
Serie A;Lazio;Bologna;1,25;G;3,75;S;1,8;1,95;1,25;4;1,72;2,1;3;0;
Super Lig;Galatasaray;Karagumruk;1,25;G;3,75;S;1,8;1,9;1,22;4;1,8;2;2;0;
Ligue 1;Nizza;Lorient;1,25;G;3,75;S;1,8;1,95;1,25;4;1,8;2;2;1;
Serie B;Monza;Spal;1,25;G;3,75;S;1,9;1,9;1,25;3,75;1,88;1,98;4;0;
Championship;Coventry;Blackpool;1,25;G;3,75;S;1,9;1,8;1,33;3,4;1,93;1,93;1;1;
Serie B;Lecce;Cittadella;1,25;G;3,75;S;1,9;1,9;1,28;3,5;1,95;1,9;1;2;
Championship;Sheffield Utd;Qpr;1,25;G;3,7;S;1,9;1,8;1,33;3,4;2,02;1,83;1;0;
League One;Ipswich;Plymouth;1,25;G;3,75;S;2;1,75;1,33;3,25;2;1,8;1;0;
Eerste Divisie;Alkmaar;Vitesse;1,25;G;3,75;S;2;1,75;1,33;3,25;2,05;1,75;3;1;
Premier League;Tottenham;Wolves;1,25;G;3,75;S;2,05;1,7;1,36;3,2;2,1;1,72;0;2;
Coppa Colombia;Huila;Cartagena;1,25;G;3,75;S;2,1;1,66;1,36;3;2,15;1,66;1;0;
Serie B;Alessandria;Reggina;1,25;G;3,75;S;2,1;1,66;1,36;3;2,2;1,65;0;0;
Primera A Col;Santa FE;Bucaramanga;1,25;G;3,75;S;2,25;1,57;1,44;2,62;2,3;1,6;3;1;
Serie A;Ascoli;Reggina;1,25;G;3,75;S;2,25;1,57;1,44;2,62;2,35;1,57;2;0;
Coppa Italia;Inter;Roma;1,25;S;3,75;G;1,66;2,1;1,18;4,5;1,6;2,3;2;0;
Allsvenskan;Elfsborg;Mjallby;1,25;S;3,75;G;1,8;1,95;1,22;4;1,72;2,07;0;2;
Serie A;Torino;Cagliari;1,25;S;3,75;G;1,95;1,8;1,33;3,4;2,08;1,82;1;2;
Serie B;Brescia;Alessandria;1,25;S;3,75;G;1,95;1,8;1,33;3,25;2,05;1,75;1;1;
Serie B;Monza;Crotone;1,25;S;3,75;G;1,95;1,8;1,28;3,5;1,9;1,95;1;0;
Serie A;Udinese;Salernitana;1,25;S;3,75;G;1,95;1,8;1,3;3,5;1,97;1,93;0;1;
Ligue 1;Lilla;ST Etienne;1,25;ND;3,75;ND;2;1,75;1,36;3,2;2,1;1,72;0;0;
Laliga2;Girona;Malaga;1,25;ND;3,75;ND;2,25;1,57;1,4;2,75;2,2;1,65;1;0;
Liga 1 Rom;Cluj;Uta;1,25;S;3,75;G;2,5;1,5;1,57;2,25;2,87;1,4;0;0;
2 Bundesliga;Amburgo;Heidenheim;1,28;G;3,5;S;1,72;2;1,22;4;1,7;2,1;2;0;
J1 League Giap;Yokohama M;Sagan Tosu;1,28;G;3,5;S;1,8;1,95;1,25;3,75;1,8;2;0;0;
Super Lig;Basaksehir;Gaziantep;1,28;G;3,5;S;1,83;1,83;1,28;3,5;1,93;1,93;2;0;
Ligue 2;Tolosa;Paris FC;1,28;G;3,5;S;1,83;1,83;1,28;3,5;1,95;1,9;2;1;
Serie B;Parma;Spal;1,28;G;3,5;S;1,9;1,9;1,28;3,5;1,93;1,93;4;0;
Premier League;Tottenham;West Ham;1,28;G;3,5;S;1,9;1,9;1,28;3,75;1,95;1,95;3;1;
Serie B;Spal;Cosenza;1,28;G;3,5;S;2;1,75;1,33;3,25;2,07;1,72;2;2;
Laliga;Ath Bilbao;Celta Vigo;1,28;G;3,5;S;2;1,75;1,36;3,2;2,1;1,72;0;2;
Laliga;Ath Bilbao;Valencia;1,28;G;3,5;S;2,05;1,7;1,36;3;2,1;1,7;1;1;
Serie B;Cosenza;Pordenone;1,28;G;3,5;S;2,05;1,7;1,36;3;2,15;1,66;3;1;
Bundesliga;Leverkusen;Colonia;1,28;S;3,5;G;1,53;2,37;1,14;5,5;1,53;2,5;0;1;
Serie B;Parma;Como;1,28;S;3,5;G;1,61;2,2;1,2;4,33;1,61;2,25;4;3;
1 Lig;Samsunspor;Bursaspor;1,28;S;3,5;G;1,72;2;1,22;4;1,66;2,15;1;1;
Championship;Qpr;Peterborough;1,28;S;3,5;G;1,72;2;1,25;4;1,8;2;1;3;
Serie A;Verona;Genoa;1,28;S;3,5;G;1,8;1,95;1,28;3,75;1,99;1,91;1;0;
Serie B;Monza;Ascoli;1,28;S;3,5;G;1,8;1,95;1,25;3,75;1,88;1,98;2;0;
K League 2 Cor;Gwangju;Asan;1,28;S;3,5;G;2,1;1,66;1,4;2,75;2,25;1,61;2;1;
Championship;Blackburn;Derby;1,28;S;3,5;G;2,25;1,57;1,5;2,62;2,62;1,5;3;1;
2 Bundesliga;Karlsruher;Sandhausen;1,3;G;3,4;S;1,61;2,2;1,18;4,5;1,61;2,25;0;2;
2 Bundesliga;Kiel;Ingolstadt;1,3;G;3,4;S;1,66;2,1;1,2;4,33;1,7;2,1;1;0;
2 Bundesliga;Dusseldorf;Rostock;1,3;G;3,4;S;1,8;1,9;1,25;3,75;1,9;1,95;3;0;
Ligue 1;Monaco;Nizza;1,3;G;3,4;S;1,8;1,95;1,25;4;1,87;2,03;1;0;
Bundesliga;Stoccarda;Augusta;1,3;G;3,4;S;1,9;1,9;1,3;3,5;2;1,9;3;2;
Super Lig;Sivasspor;Altay;1,3;G;3,4;S;2;1,72;1,36;3;2,15;1,66;2;1;
Championship;West Brom;Huddersfield;1,3;G;3,4;S;2,1;1,66;1,44;2,75;2,37;1,57;2;2;
Laliga2;Leganes;Fuenlabrada;1,3;G;3,4;S;2,2;1,61;1,44;2,62;2,4;1,53;3;2;
Laliga;Getafe;Alaves;1,3;G;3,4;S;2,62;1,44;1,66;2,2;3,2;1,36;2;2;
Eredivisie;Den Haag;Telstar;1,3;S;3,4;G;1,61;2,2;1,18;4,5;1,7;2,1;2;1;
2 Bundesliga;Darmstadt;Sandhausen;1,3;S;3,4;G;1,72;2;1,22;4;1,8;2;1;1;
League One;Plymouth;Cheltenham;1,3;ND;3,4;ND;1,8;1,95;1,28;3,5;1,98;1,88;2;0;
Ligue 1;Lens;Clermont;1,3;S;3,4;G;1,9;1,9;1,3;3,5;2,01;1,89;3;1;
Serie B;Cremonese;Alessandria;1,3;S;3,4;G;1,9;1,9;1,28;3,5;1,98;1,88;2;1;
Serie B;Alessandria;Pordenone;1,3;S;3,4;G;1,95;1,8;1,33;3,25;2,05;1,75;2;0;
Serie B;Lecce;Pisa;1,3;ND;3,4;ND;1,95;1,8;1,33;3,25;2,1;1,7;2;0;
Copa Libertdores;America MG;Tolima;1,3;ND;3,4;ND;2,1;1,66;1,44;2,62;2,35;1,57;2;3;
2 Bundesliga;Paderborn;Dresda;1,33;G;3,25;S;1,72;2;1,22;4;1,77;2,1;0;0;
Championship;Bristol City;Reading;1,33;G;3,25;S;1,72;2;1,25;4;1,8;2;2;1;
2 Bundesliga;Norimberga;Dresda;1,33;G;3,25;S;1,72;2;1,25;3,75;1,88;1,98;1;1;
League Two Eng;Salford;Crawley;1,33;G;3,25;S;1,72;2;1,25;3,75;1,88;1,98;2;1;
Europa League;RB Lipsia;Atalanta;1,33;G;3,25;S;1,75;2;1,25;4;1,8;2;1;1;
Superettan Svez;Orebro;Jonkopings;1,33;G;3,25;S;1,8;1,95;1,25;3,75;1,85;2;3;1;
Championship;Nottingham;Qpr;1,33;G;3,25;S;1,83;1,83;1,3;1,3;1,98;1,88;3;1;
Laliga2;UD Ibiza;R Sociedad B;1,33;G;3,25;S;1,83;1,83;1,28;3,5;2;1,85;2;2;
Serie B;Brescia;Ascoli;1,33;G;3,25;S;1,95;1,8;1,33;3,25;2,05;1,75;2;0;
Serie B;LR Vicenza;Cosenza;1,33;G;3,25;S;1,95;1,8;1,33;3,25;2,1;1,7;0;0;
League One;Accrington;Gillingham FC;1,33;G;3,25;S;1,95;1,8;1,33;3,25;2,07;1,72;1;2;
J2 League Giap;Oita;Ryukyu;1,33;G;3,25;S;2;1,72;1,36;3;2,15;1,66;4;1;
Premier League;Crystal Palace;Burnley;1,33;G;3,25;S;2,05;1,7;1,4;3;2,3;1,61;1;1;
Serie B;Perugia;Spal;1,33;G;3,25;S;2,05;1,7;1,4;2,75;2,25;1,61;1;1;
Copa Libertdores;Cerro Porteno;Penarol;1,33;G;3,25;S;2,2;1,61;1,5;2,5;2,5;1,5;1;0;
Serie A;Sassuolo;Spezia;1,33;S;3,25;G;1,61;2,2;1,2;4,5;1,66;2,2;4;1;
Serie A;Napoli;Fiorentina;1,33;S;3,25;G;1,7;2,05;1,22;4,33;1,72;2,1;2;3;
Premier League;West Ham;Burnley;1,33;S;3,25;G;1,8;1,95;1,3;3,5;1,97;1,93;1;1;
